"Business_ID","Name","Address","City","Latitude","Longitude","Grade"
"PR0091432","7-ELEVEN #14476G","2904 S KENT DES MOINES RD","DES MOINES","47.3953144","-122.29658968","3"
"PR0004268","7-ELEVEN #15525E","3120 S 176TH ST","SEATTLE","47.445687087","-122.2921186302","2"
"PR0001019","7-ELEVEN #16022G","5900 PHINNEY AVE N ","Seattle","47.6719672037","-122.354018323","1"
"PR0001027","7-ELEVEN #16365F","6111 24TH AVE NW ","SEATTLE","47.673604739","-122.3879876496","3"
"PR0011526","7-ELEVEN #16545G","103 15TH AVE E ","Seattle","47.6186773348","-122.3130112368","3"
"PR0002233","7-ELEVEN #16547C","4812 ERSKINE WAY SW ","SEATTLE","47.5588039469","-122.3871279733","2"
"PR0001037","7-ELEVEN #18553E","3939 STONE WAY N","Seattle","47.6551035359","-122.3429274107","1"
"PR0008294","7-ELEVEN #19042A","7314 AURORA AVE N ","Seattle","47.6826132821","-122.3441041651","2"
"PR0004278","7-ELEVEN #21776D","21454 PACIFIC HWY S ","Seattle","47.4085153638","-122.2977310427","3"
"PR0087968","7-ELEVEN #22671B","711 WASHINGTON AVE N","KENT","47.38703858","-122.24796424","2"
"PR0002245","7-ELEVEN #23020E","1522 E MADISON ST ","Seattle","47.6150841664","-122.3119680733","2"
"PR0006026","7-ELEVEN #23559E","2353 140TH AVE NE ","BELLEVUE","47.6312652752","-122.1542143871","1"
"PR0015703","7-ELEVEN #2360-27304B","13335 100TH AVE NE ","Kirkland","47.7205146432","-122.2082098498","2"
"PR0005108","7-ELEVEN #2361-20249D","1302 8TH ST NE ","AUBURN","47.3149986389","-122.2130376676","1"
"PR0011694","7-ELEVEN #23895D","12355 15TH AVE NE ","Seattle","47.719167956","-122.313088745","2"
"PR0006019","7-ELEVEN #23930C","14501 JUANITA WOODINVILLE WAY NE ","Bothell","47.73337","-122.19561","2"
"PR0004275","7- ELEVEN #23931G","11657 DES MOINES MEMORIAL DR S ","SEATTLE","47.4981739249","-122.3087670109","2"
"PR0012344","7-ELEVEN #26268D","28719 MILITARY RD S ","FEDERAL WAY","47.3436802916","-122.3016651125","1"
"PR0013963","7-ELEVEN #26939D","2429 HARBOR AVE SW ","SEATTLE","47.5813771296","-122.3734129133","3"
"PR0012717","7-ELEVEN #27030B","680 STRANDER BL ","TUKWILA","47.457831411","-122.2446080973","1"
"PR0014573","7-ELEVEN #27219C","2202 AUBURN WAY N ","Auburn","47.3267205567","-122.2209299108","2"
"PR0013425","7-ELEVEN #27742B","20008 PACIFIC HWY S ","SEATTLE","47.4223933166","-122.2958737571","2"
"PR0077672","7-ELEVEN - 34144B","18012 WEST VALLEY HWY S","KENT","47.4411486516","-122.2453054831","2"
"PR0081005","7-ELEVEN #34636B","4020 NE 4th ST #A","RENTON","47.48891072","-122.1648224","2"
"PR0081577","7-ELEVEN #35056A","17615 108TH AVE SE","RENTON","47.44486281","-122.19751716","2"
"PR0005513","7-ELEVEN #35333B","1602 A ST SE ","Auburn","47.2938280116","-122.228376747","3"
"PR0082120","7-ELEVEN #35532B","819 VIRGINIA ST UNIT C-1","SEATTLE","47.61602863","-122.3358385","2"
"PR0084072","7-ELEVEN #37068A","810 3RD AVE STE 820","SEATTLE","47.6046984","-122.33274881","2"
"PR0084372","7 - ELEVEN #37134A","5700 M L KING JR WAY S","SEATTLE","47.550965","-122.287323","2"
"PR0085393","7-ELEVEN #37558A","100 BELLEVUE WAY SE","BELLEVUE","47.60949945","-122.20103416","2"
"PR0086309","7-ELEVEN #37755A","1105 NE 47th ST","SEATTLE","47.66298557","-122.31612382","1"
"PR0083074","7 - ELEVEN #38365A","4710 UNIVERSITY WAY NE","SEATTLE","47.66350241","-122.31276326","2"
"PR0089025","7-ELEVEN #38597A","22422 83RD AVE S","KENT","47.40058989","-122.2288101","2"
"PR0034957","7-ELEVEN #38700 A","12400 SE 312TH ST ","AUBURN","47.3229937726","-122.1757116126","2"
"PR0005330","7-ELEVEN #38805A","2415 GRIFFIN AVE ","ENUMCLAW","47.2068633812","-122.0005708355","2"
"PR0009035","7-ELEVEN #38806A","10255 SE 240TH ST","KENT","47.3867985644","-122.2040889619","3"
"PR0013472","7-ELEVEN #38807A","20727 108TH AVE SE","KENT","47.416203","-122.19749","3"
"PR0041022","7-ELEVEN #39637A","18010 E VALLEY HWY","KENT","47.4411636346","-122.2453092618","2"
"PR0048623","7-ELEVEN #39639A","1208 CENTRAL AVE N","KENT","47.3951640795","-122.227794426","2"
"PR0068005","7-ELEVEN #39836A","31980 MILITARY RD S ","AUBURN","47.3154357718","-122.2830860091","2"
"PR0053506","7-ELEVEN #41883A","1830 MINOR AVE","SEATTLE","47.6172086272","-122.3308116303","2"
"PR0004779","7-ELEVEN #42048H","34727 PACIFIC HWY S ","FEDERAL WAY","47.2903291096","-122.3183162544","2"
"PR0005115","7-ELEVEN, INC/MKT 2361- 14481E","1539 21ST AVE SE ","AUBURN","47.2902922346","-122.2089181577","1"
"PR0004277","7-ELEVEN, INC/MKT 2361-17463D","104 SW 312TH ST ","FEDERAL WAY","47.3227981005","-122.3350502425","2"
"PR0004580","7-ELEVEN, INC/MKT 2361- 27284B","32935 1ST AVE S ","FEDERAL WAY","47.3064827544","-122.3351205559","1"
"PR0015697","7-ELEVEN, INC/MKT 2361- 27311C","1481 W MEEKER ST ","Kent","47.3815175429","-122.2532654687","1"
"PR0001033","7-ELEVEN STORE #14354D","16506 5TH AVE NE ","SHORELINE","47.7487021211","-122.3236815452","3"
"PR0001011","7-ELEVEN STORE #14355A","9126 ROOSEVELT WAY NE ","Seattle","47.6957472793","-122.3170805889","1"
"PR0010807","7-ELEVEN STORE #14441A","11505 SE 168TH ST ","RENTON","47.45210129","-122.1864846027","1"
"PR0010888","7-ELEVEN STORE #17257B","1232 N 185TH ST ","SHORELINE","47.7635642588","-122.3425198868","2"
"PR0091931","7-Eleven Store #18758G","26007 PACIFIC HWY S ","DES MOINES","47.3683890092","-122.3045960311","2"
"PR0001031","7-ELEVEN STORE #22625D","16920 15TH AVE NE","SHORELINE","47.7518731653","-122.3127606149","2"
"PR0005110","7-ELEVEN STORE #23525F","12848 M L KING JR WAY S ","SEATTLE","47.4877808891","-122.2580865081","3"
"PR0001013","7-ELEVEN STORE #2360-14360A","3200 NW 54TH ST ","Seattle","47.6677206722","-122.3986795916","2"
"PR0001012","7-ELEVEN STORE #2360-14373C","8250 LAKE CITY WAY NE ","SEATTLE","47.6889474844","-122.3097150192","3"
"PR0002252","7-ELEVEN STORE #2360-14392B","9 NICKERSON ST ","Seattle","47.6491866294","-122.3573274102","2"
"PR0006008","7-ELEVEN STORE #2360-14402D","8316 164TH AVE NE","REDMOND","47.6769282763","-122.1210807094","2"
"PR0005107","7-ELEVEN STORE #2360-14408F","1308 N 30TH ST","Renton","47.5186851801","-122.2009238713","2"
"PR0011422","7-ELEVEN STORE #2360-17355E","15 148TH AVE NE ","Bellevue","47.6100708494","-122.1434743905","2"
"PR0006006","7-ELEVEN STORE #2360-19338D","5040 148TH AVE NE ","Redmond","47.6545132204","-122.1424731807","2"
"PR0006025","7-ELEVEN STORE #2360-19911D","14340 124TH AVE NE ","Kirkland","47.7310672061","-122.1749277871","1"
"PR0006018","7-ELEVEN STORE #2360-21833C","13923 NE 175TH ST ","Woodinville","47.7541172929","-122.1531917088","1"
"PR0002246","7-ELEVEN STORE #2360-23109D","362 DENNY WAY ","Seattle","47.6187523458","-122.3492997029","1"
"PR0011211","7-ELEVEN STORE #2360-25525D","1550 NW MARKET ST","SEATTLE","47.6689446959","-122.3785918617","2"
"PR0011439","7-ELEVEN STORE #2360-26055B","300 N 125TH ST ","Seattle","47.7199269081","-122.3550762628","2"
"PR0014190","7-ELEVEN STORE #2360-26544C","304 N 36TH ST ","Seattle","47.6527899515","-122.3552133262","1"
"PR0014719","7-ELEVEN STORE #2360-29078B","101 NE 50TH ST ","Seattle","47.6647197954","-122.3279615798","2"
"PR0004267","7-ELEVEN STORE #2361-14443D","14462 34TH AVE S ","Seattle","47.4726953229","-122.2892321974","3"
"PR0002249","7-ELEVEN STORE #2361-14463E","9041 DELRIDGE WAY SW","Seattle","47.5217700784","-122.359688364","2"
"PR0005783","7-ELEVEN STORE #2361-20188E","13131 SE 240TH ST ","KENT","47.3865287526","-122.1659024145","3"
"PR0004279","7-ELEVEN STORE #2361-22866C","14207 TUKWILA INTERNATIONAL BL","TUKWILA","47.475890596","-122.2838996762","2"
"PR0010544","7-ELEVEN STORE #2361-22984E","3702 AUBURN WAY N ","Auburn","47.3404979349","-122.2217057921","2"
"PR0004274","7-ELEVEN STORE #2361-23228C","31006 PACIFIC HWY S ","Federal Way","47.3241069748","-122.3131146064","3"
"PR0002242","7-ELEVEN STORE #2361-24404B","3801 CALIFORNIA AVE SW ","Seattle","47.5699586859","-122.3871664132","2"
"PR0017475","7-ELEVEN STORE -2361 26818F","19023 INTERNATIONAL BL","TUKWILA","47.4325376974","-122.2956293304","3"
"PR0005105","7-ELEVEN STORE #23938E","4026 A ST SE ","Auburn","47.2722077124","-122.2282727977","2"
"PR0008574","7-ELEVEN STORE #24410B","404 SUNSET BL N","Renton","47.4883625538","-122.1942025942","1"
"PR0011796","7-ELEVEN STORE #25303D","511 S CENTRAL AVE ","Kent","47.3776125992","-122.2308539482","1"
"PR0016518","7-ELEVEN STORE #27901G","2100 N NORTHGATE WAY ","Seattle","47.709022328","-122.3334961928","1"
"PR0054242","7-ELEVEN STORE #32658C","1200 SW 43RD ST ","RENTON","47.4416215354","-122.2334291197","1"
"PR0015190","7-ELEVEN STORE #35334A","31207 124TH AVE SE ","Auburn","47.3222072976","-122.1771610256","1"
"PR0089260","#807 TUTTA BELLA","2746 NE 45TH ST","SEATTLE","47.66231092","-122.29641473","1"
"PR0087979","84 YESLER","84 YESLER WAY","SEATTLE","47.60186637","-122.33508465","1"
"PR0087244","85 C BAKERY CAFE","31503 PACIFIC HWY S","FEDERAL WAY","47.31990366","-122.31544755","1"
"PR0086435","85 C BAKERY CAFE","1341 SOUTHCENTER MALL #1610","TUKWILA","47.459293","-122.256361","1"
"PR0089343","85 C BAKERY CAFE- BELLEVUE","14701 NE 20TH ST","BELLEVUE","47.62758161","-122.14397814","3"
"PR0090796","88 CUES- FILIPINO CLASSICS","15009 AURORA AVE N","SHORELINE","47.73792012","-122.34587095","1"
"PR0080274","8 at Ping Yang","1412 E UNION ST","SEATTLE","47.61312358","-122.31349051","1"
"PR0083610","8 BIT ARCADE BAR","916 S 3rd ST","RENTON","47.479811","-122.204944","1"
"PR0004875","8IGHT IZAKAYA","33320 PACIFIC HWY S #101","Federal Way","47.3024662622","-122.3123401992","2"
"PR0024978","901 CAFE, LLC","901 5TH AVE STE 500","Seattle","47.6060441981","-122.3318753725","1"
"PR0076680","909 COFFEE AND WINE","909 SW 152ND ST ","BURIEN","47.4666354084","-122.3463648837","1"
"PR0055103","99 RANCH MARKET","18230 E VALLEY HWY ","KENT","47.4383135834","-122.2457506979","2"
"PR0052113","99 RANCH MARKET","18230 E VALLEY HWY ","KENT","47.4383135834","-122.2457506979","1"
"PR0052117","99 RANCH MARKET","18230 E VALLEY HWY ","KENT","47.4383135834","-122.2457506979","1"
"PR0052118","99 RANCH MARKET","18230 E VALLEY HWY ","KENT","47.4383135834","-122.2457506979","2"
"PR0086901","9 HATS WINERY","3861 1ST AVE S STE C","SEATTLE","47.56800459","-122.33486445","2"
"PR0090704","9TH AND HENNEPIN DONUTS KC#965","5600 DELRIDGE WAY SW","SEATTLE","47.55177","-122.3627","1"
"PR0090288","9TH AND PIKE","17801 INTERNATIONAL BL C","SEATAC","47.443015","-122.302146","2"
"PR0092530","9TH & HENNEPIN DONUTS","5604 DELRIDGE WAY SW","SEATTLE","47.55166955","-122.36272383","1"
"PR0089308","A1 HAWAIIAN BARBECUE","12932 SE KENT KANGLEY RD","KENT","47.36007982","-122.16760334","3"
"PR0085860","A1 MARKET","14401 GREENWOOD AVE N","SEATTLE","47.7333351","-122.35598551","1"
"PR0067500","A1 MART, INC","10406 GREENWOOD AVE N","SEATTLE","47.7046009374","-122.3549588079","1"
"PR0077210","AAHAAR","7726 CENTER BL #135","SNOQUALMIE","47.5303290026","-121.8727058772","2"
"PR0080603","Aamrai Restaurant","1802 BELLEVUE AVE","SEATTLE","47.61790291","-122.32658291","2"
"PR0065292","AARONS PIZZA PALACE","116 SW 148TH ST D-190","BURIEN","47.4715160916","-122.3349543717","2"
"PR0010863","AA RUM SAI LLC","12343 LAKE CITY WAY NE ","Seattle","47.7186792284","-122.2960341336","1"
"PR0081007","AA SUSHI","5463 LEARY AVE NW","SEATTLE","47.6681695","-122.38434693","1"
"PR0072325","AA SUSHI","9730 NE 119TH WAY ","KIRKLAND","47.7067052692","-122.2124840976","2"
"PR0071283","ABARROTERIA RESTAURANTE RAMIREZ INC","4309 S HENDERSON ST ","SEATTLE","47.5229333422","-122.2788707426","1"
"PR0090869","Abay International LLC","12333 Lake City WAY NE","Seattle","47.71844517","-122.29608062","2"
"PR0011058","ABAY RESTAURANT & CAFE","14855 TUKWILA INTERNATIONAL BL S","TUKWILA","47.4701198061","-122.2866588674","2"
"PR0003302","ABBOUD'S MCDONALD'S, LLC","6546 CALIFORNIA AVE SW","Seattle","47.5433052494","-122.3868457608","1"
"PR0044982","ABBOUD'S MCDONALDS, LLC","3003 CALIFORNIA AVE SW ","Seattle","47.5767089847","-122.387121862","1"
"PR0027524","A & B CAFE","670 S WELLER ST ","SEATTLE","47.5976365562","-122.3240987387","3"
"PR0084994","ABERDEEN CAFE","721 M ST NE #103","AUBURN","47.31482087","-122.2146987","1"
"PR0091596","ABLES STEAKHOUSE","717 SW 148TH ST STE C","Burien","47.47022727","-122.34335263","1"
"PR0049697","ABUELITA'S KITCHEN","8552 GREENWOOD AVE N ","SEATTLE","47.6915450476","-122.3549811325","2"
"PR0011710","ABUELO'S MARKET AND TAQUERIA","11801 NE 160TH ST STE A","Bothell","47.743350066","-122.183721019","1"
"PR0003899","ABYSSINIA MARKET","2225 4TH AVE STE C","Seattle","47.615079327","-122.3440676667","1"
"PR0028990","ACACIA TERIYAKI","4026 148TH AVE NE","REDMOND","47.6463696448","-122.1411799938","1"
"PR0025896","ACAPULCO FRESH KENMORE","6016 NE BOTHELL WAY ","KENMORE","47.758680143","-122.2629339188","1"
"PR0077772","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0077777","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0077779","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0077776","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0077778","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0077775","ACCESSO SHOWARE CENTER","625 W JAMES ST","KENT","47.3878612471","-122.2400836999","1"
"PR0046917","ACCITUNO'S #12","13055 LAKE CITY WAY NE ","SEATTLE","47.7245314316","-122.293080219","2"
"PR0091893","ACE HOTEL SEATTLE","2423 1ST AVE","SEATTLE","47.61449358","-122.34870114","1"
"PR0078071","ACEITUNO'S MEXICAN FOOD","6621 211TH ST 104","KENT","47.41305","-122.25137","1"
"PR0011245","ACEITUNO'S MEXICAN FOOD","11747 124TH AVE NE ","Kirkland","47.7056835512","-122.1761745336","2"
"PR0069317","A-CHAU CAFE LLC","6902 RAINIER AVE S","SEATTLE","47.540564649","-122.2711872177","2"
"PR0091961","AC HOTEL BY MARRIOTT SEATTLE/DOWNTOWN","117 YALE AVE N","SEATTLE","47.61913889","-122.33071271","1"
"PR0092976","ACM SEATTLE LLC","19600 144TH AVE NE","WOODINVILLE","47.77007825","-122.14549973","1"
"PR0070250","ACORN CATERING","16918 25TH AVE NE ","LAKE FOREST PARK","47.7516352478","-122.3024447256","1"
"PR0006084","ACROPOLIS PIZZA & PASTA CO","500 CENTRAL WAY ","KIRKLAND","47.679124964","-122.1985635782","1"
"PR0076460","ACT 3 CATERING","15665 NELSON PL","TUKWILA","47.46160891","-122.2435146889","1"
"PR0090527","ACTION SPORTS BAR & GRILL (KC700)","25626 102nd PL SE","KENT","47.37194588","-122.20399679","1"
"PR0092428","A CUT ABOVE GRAZE CLUB","19600 144TH AVE NE","WOODINVILLE","47.77008","-122.1455","1"
"PR0089666","ADAMS BENCH WINERY","13590 NE VILLAGE SQUARE DR UNIT 1040","WOODINVILLE","47.75209746","-122.15835551","1"
"PR0001429","ADA'S RESTAURANT & BAR","5910 PHINNEY AVE N ","Seattle","47.6721711301","-122.3542057885","1"
"PR0083069","ADA'S TECHNICAL BOOKS AND CAFE","425 15TH AVE E","SEATTLE","47.62268345","-122.31286237","2"
"PR0004269","ADDIS MANAGEMENT INC","11065 8TH AVE S ","Seattle","47.5032374689","-122.3235607317","2"
"PR0043206","ADESA WASHINGTON INC.","621 37TH ST NW ","Auburn","47.340758706","-122.2379025329","1"
"PR0070233","ADEY ABEBA ETHIOPIAN RESTAURANT","2123 E UNION ST ","SEATTLE","47.6127386315","-122.3038409663","2"
"PR0084512","ADMIRAL CHEVRON","4100 SW ADMIRAL WAY","SEATTLE","47.58146346","-122.3841813","1"
"PR0032808","ADMIRAL CHEVRON","2347 CALIFORNIA AVE SW ","Seattle","47.5814948042","-122.3869173867","1"
"PR0071437","ADMIRAL CINEMA LLC","2343 CALIFORNIA AVE ","SEATTLE","47.581967","-122.386944","1"
"PR0003839","ADMIRAL PUB","2306 CALIFORNIA AVE SW ","Seattle","47.58269706","-122.3862262","1"
"PR0089112","ADRIAN'S MEXICAN RESTAURANT AND TEQUILA BAR","10149 MAIN ST","BELLEVUE","47.61006","-122.2043","2"
"PR0001638","ADULIS ERITREAN & ETHIOPIAN RESTAURANT","10515 GREENWOOD AVE N","SEATTLE","47.7055827179","-122.3558631252","3"
"PR0006598","AERIE COFFEE SHOP","5520 108TH AVE NE ","KIRKLAND","47.6584178739","-122.1947946954","2"
"PR0069327","AERIE COFFEE SHOP","5520 108TH AVE NE ","KIRKLAND","47.6584178739","-122.1947946954","3"
"PR0087984","AERLUME","2003 WESTERN AVE STE C","SEATTLE","47.61079","-122.34481","1"
"PR0011697","AEROJET","11411 139TH PL NE ","Redmond","47.7002083825","-122.1566898848","1"
"PR0088082","AFC SUSHI @ AMA001","2021 7TH AVE","SEATTLE","47.61534171","-122.33840633","1"
"PR0090233","AFC SUSHI @ AMZ042","13201 AURORA AVE N","Seattle","47.72558082","-122.34699268","1"
"PR0086463","AFC SUSHI @ BOEING #2","7755 E MARGINAL WAY","SEATTLE","47.53229","-122.31174","2"
"PR0086776","AFC SUSHI @ BOEING #3","900 LOGAN AVE N","RENTON","47.49743","-122.21086","1"
"PR0076652","AFC SUSHI @ METOPOLITAN MARKET #157","100 MERCER ST ","SEATTLE","47.6248335865","-122.3544147995","1"
"PR0046980","AFC SUSHI @ METROPOLITAN #153","2320 42ND AVE SW ","SEATTLE","47.5819","-122.38461","1"
"PR0069588","AFC SUSHI @ METROPOLITAN 156","5250 40TH AVE NE ","SEATTLE","47.6681496981","-122.2839495952","1"
"PR0082750","AFC SUSHI@ METROPOLITAN MARKET #161","3830 34TH AVE W","SEATTLE","47.654794","-122.400591","2"
